domain,founding_year,country,city,funding_stage,total_funding_usd_millions,valuation_usd_millions,revenue_arr_millions,monthly_burn_rate_millions,runway_months_2024,peak_headcount_2023,layoffs_2024_2025,current_headcount_2026,investor_tier,ai_adoption_level,acquisition_status,founding_year_age,total_funding_usd_millions_log1p,valuation_usd_millions_log1p,revenue_arr_millions_log1p,funding_per_employee,valuation_to_revenue,layoff_rate
ClimateTech,2023,USA,Boston,Seed,1.61,24.15,1.55,0.52,2.6,42,24,18,Tier 2 (Mid-size VC),High,Acquired (Fire Sale),3,0.959350221334602,3.224857896545748,0.9360933591703349,0.08944444444444445,15.580645161290322,0.5714285714285714
FinTech,2013,China,Shanghai,Series B,24.19,102.86,9.64,0.89,24.4,66,10,56,Tier 2 (Mid-size VC),Medium,Independent,13,3.226447090364519,4.6430438384161725,2.3646204839134985,0.43196428571428575,10.6701244813278,0.15151515151515152
Generative AI,2012,USA,San Francisco,Series A,8.1,67.19,11.04,0.64,10.9,35,0,35,Corporate VC (e.g. Google Ventures),High,Independent,14,2.2082744135228043,4.222297926532561,2.488234439880675,0.23142857142857143,6.086050724637682,0.0
Generative AI,2018,UK,Cambridge,Series C+,255.93,1633.0,106.67,26.7,9.5,1368,417,951,Tier 3 (Angel/Seed),High,Independent,8,5.548803674253954,7.3987862754199485,4.679070993827626,0.2691167192429022,15.308896596981343,0.3048245614035088
FinTech,2020,USA,Seattle,Seed,5.49,63.86,2.91,0.74,6.5,41,18,23,"Tier 1 (e.g. Sequoia, a16z)",High,Acquired,6,1.8702625307159986,4.172231100879172,1.3635373739972745,0.23869565217391306,21.945017182130584,0.43902439024390244
Robotics,2020,USA,San Francisco,Series B,37.2,165.34,10.17,1.79,19.7,132,0,132,Tier 3 (Angel/Seed),Medium,Closed,6,3.6428355156125294,5.1140338864405415,2.413231613081109,0.28181818181818186,16.257620452310718,0.0
FinTech,2020,India,Delhi NCR,Series C+,26.17,216.85,9.29,2.23,11.2,122,0,122,Tier 3 (Angel/Seed),High,Independent,6,3.3021134234382563,5.383806752563451,2.331172549845958,0.2145081967213115,23.342303552206676,0.0
HealthTech,2021,UK,London,Series B,28.15,253.88,15.46,2.21,12.2,142,39,103,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,5,3.3724549127965013,5.540792846161739,2.800933195248924,0.2733009708737864,16.421733505821475,0.2746478873239437
SpaceTech,2020,USA,Boston,Series A,11.21,119.22,5.15,0.82,12.2,66,26,40,Tier 2 (Mid-size VC),Low,Independent,6,2.502255288122613,4.789323397611016,1.8164520818184267,0.28025,23.149514563106795,0.3939393939393939
ClimateTech,2021,China,Shenzhen,Series C+,51.88,527.63,24.08,1.97,25.1,179,0,179,Tier 3 (Angel/Seed),High,IPO,5,3.9680251955434307,6.270288754248749,3.22207071576472,0.2898324022346369,21.91154485049834,0.0
Generative AI,2020,Israel,Tel Aviv,Seed,4.99,27.78,1.51,0.66,6.6,56,0,56,Tier 2 (Mid-size VC),Low,Independent,6,1.7900914121273581,3.359680701459222,0.9202827531436926,0.08910714285714286,18.397350993377483,0.0
Generative AI,2018,USA,Austin,Seed,0.93,19.02,2.36,0.91,0.9,48,0,48,Corporate VC (e.g. Google Ventures),High,Independent,8,0.6575200029167941,2.9967317738870745,1.2119409739751128,0.019375,8.059322033898304,0.0
HealthTech,2022,China,Shanghai,Series B,48.54,417.44,48.42,4.05,11.7,380,125,255,Tier 3 (Angel/Seed),Medium,Independent,4,3.9027804240612136,6.03653351047556,3.900355200560464,0.19035294117647059,8.621230896323834,0.32894736842105265
Web3/Crypto,2019,USA,Boston,Series C+,82.87,785.08,53.76,2.56,31.2,166,0,166,Tier 2 (Mid-size VC),Medium,Independent,7,4.42926798099632,6.667058568420338,4.002960000420248,0.49921686746987953,14.60342261904762,0.0
HealthTech,2022,Singapore,Singapore,Seed,0.85,24.5,4.81,0.12,3.9,6,0,6,Tier 3 (Angel/Seed),High,Independent,4,0.6151856390902334,3.2386784521643803,1.7595805708638197,0.14166666666666666,5.093555093555094,0.0
ClimateTech,2015,USA,Boston,Pre-IPO,112.17,681.09,46.11,5.34,20.6,333,111,222,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,11,4.72889111297785,6.525161613946257,3.85248529271195,0.5052702702702703,14.770982433311646,0.3333333333333333
Generative AI,2012,USA,Austin,Series A,0.0,22.79,3.06,0.46,0.0,38,0,38,Bootstrapped,,Independent,14,0.0,3.1692653243148663,1.4011829736136414,0.0,7.447712418300653,0.0
SpaceTech,2018,USA,Miami,Series C+,97.79,1049.7,40.16,3.91,24.4,292,0,292,Corporate VC (e.g. Google Ventures),Medium,Acquired,8,4.592996385056383,6.957211887694729,3.717466910965849,0.3348972602739726,26.13794820717132,0.0
Generative AI,2023,India,Bengaluru,Seed,9.29,95.05,7.83,0.76,10.8,59,0,59,Tier 3 (Angel/Seed),High,Acquired,3,2.331172549845958,4.564868889214566,2.178155014615869,0.15745762711864406,12.139208173690932,0.0
FinTech,2020,USA,Seattle,Series B,25.35,192.22,13.68,2.03,11.9,147,47,100,Tier 2 (Mid-size VC),,Acquired,6,3.2714682749873716,5.263829436089363,2.6864860231863696,0.2535,14.051169590643275,0.3197278911564626
ClimateTech,2018,China,Hangzhou,Series B,6.11,66.71,7.54,0.62,8.5,44,24,20,Tier 3 (Angel/Seed),High,Closed,8,1.9615022438151495,4.215233879497554,2.1447610078004784,0.3055,8.847480106100795,0.5454545454545454
Robotics,2020,UK,Cambridge,Series B,56.58,531.95,27.05,2.22,24.4,186,0,186,Tier 2 (Mid-size VC),Low,Independent,6,4.05317528518403,6.278427611135146,3.3339886319687055,0.3041935483870968,19.66543438077634,0.0
EdTech,2016,USA,Boston,Series B,3.79,38.71,7.67,0.69,4.8,49,32,17,Tier 2 (Mid-size VC),High,Acquired (Fire Sale),10,1.5665304114228238,3.6816030451431603,2.1598687907924505,0.22294117647058823,5.046936114732725,0.6530612244897959
Cybersecurity,2019,China,Hangzhou,Series C+,71.19,357.96,12.77,1.69,39.8,120,0,120,Corporate VC (e.g. Google Ventures),High,Independent,7,4.279301532151069,5.883210961667728,2.6224923127405635,0.5932499999999999,28.031323414252153,0.0
Web3/Crypto,2016,USA,San Francisco,Seed,1.05,16.21,1.89,0.5,1.8,39,24,15,"Tier 1 (e.g. Sequoia, a16z)",Medium,Acquired (Fire Sale),10,0.7178397931503169,2.845490610223448,1.0612565021243408,0.07,8.576719576719578,0.6153846153846154
SpaceTech,2020,USA,Seattle,Series B,171.47,1381.93,53.76,11.45,14.8,736,292,444,Tier 3 (Angel/Seed),High,Independent,6,5.1502233083033095,7.231959715777867,4.002960000420248,0.3861936936936937,25.70554315476191,0.3967391304347826
Robotics,2020,USA,Miami,Post-IPO,486.58,2153.02,305.71,35.32,13.7,2174,285,1889,Tier 3 (Angel/Seed),High,Independent,6,6.189454379538652,7.675091142724296,5.725902675740284,0.25758602435150874,7.042687514310948,0.1310947562097516
FinTech,2020,Israel,Tel Aviv,Series B,7.72,44.01,5.89,0.97,7.2,53,0,53,Corporate VC (e.g. Google Ventures),Medium,Closed,6,2.1656192379208883,3.806884687304841,1.9300710850255671,0.14566037735849055,7.471986417657046,0.0
HealthTech,2019,USA,San Francisco,Seed,4.03,50.14,2.21,0.3,10.1,19,0,19,Tier 3 (Angel/Seed),Medium,Independent,7,1.6154199841116479,3.9345669698630408,1.1662709371419244,0.21210526315789474,22.687782805429865,0.0
Generative AI,2019,UK,London,Series B,27.89,142.23,5.25,2.15,12.4,114,22,92,Tier 3 (Angel/Seed),Low,Independent,7,3.363495514478144,4.964451729791774,1.8325814637483102,0.3031521739130435,27.09142857142857,0.19298245614035087
ClimateTech,2020,France,Paris,Seed,0.96,11.19,0.38,0.89,1.0,51,0,51,Corporate VC (e.g. Google Ventures),Medium,IPO,6,0.6729444732424258,2.5006159434931803,0.3220834991691133,0.018823529411764704,29.44736842105263,0.0
FinTech,2024,USA,New York,Series B,63.16,743.78,70.3,1.73,34.5,124,0,124,Tier 2 (Mid-size VC),Medium,Independent,2,4.161379963558259,6.613088872755911,4.26689632742025,0.5093548387096773,10.580085348506401,0.0
Web3/Crypto,2018,Germany,Munich,Series A,11.7,53.77,1.88,1.16,9.3,67,51,16,Tier 3 (Angel/Seed),Low,Closed,8,2.5416019934645457,4.00314259879563,1.0577902941478545,0.73125,28.601063829787236,0.7611940298507462
Web3/Crypto,2019,China,Shenzhen,Seed,2.4,31.71,2.34,0.66,3.2,39,30,9,"Tier 1 (e.g. Sequoia, a16z)",Medium,Acquired (Fire Sale),7,1.2237754316221157,3.4876808415502927,1.205970806988609,0.26666666666666666,13.551282051282053,0.7692307692307693
Robotics,2015,China,Shanghai,Series B,8.99,40.23,2.45,0.99,8.2,54,0,54,Tier 3 (Angel/Seed),High,Closed,11,2.301584592660462,3.7191661467188086,1.2383742310432684,0.16648148148148148,16.420408163265304,0.0
FinTech,2020,Germany,Berlin,Series B,19.21,240.1,9.03,1.04,16.9,67,0,67,Tier 3 (Angel/Seed),High,Independent,6,3.00617753141553,5.485211785187126,2.305580601973844,0.2867164179104478,26.589147286821706,0.0
HealthTech,2023,China,Shanghai,Series C+,36.22,263.71,35.33,2.11,16.4,116,0,116,Corporate VC (e.g. Google Ventures),Medium,IPO,3,3.616846251214105,5.578634887136764,3.5926438462331105,0.3122413793103448,7.464194735352391,0.0
Generative AI,2021,USA,Austin,Series A,30.41,369.38,14.06,1.72,16.7,137,0,137,Tier 2 (Mid-size VC),High,Independent,5,3.447126313550555,5.914529505633859,2.7120422223717475,0.22197080291970803,26.271692745376956,0.0
HealthTech,2019,India,Delhi NCR,Seed,1.72,22.02,1.9,0.34,3.9,28,0,28,Tier 2 (Mid-size VC),Medium,Independent,7,1.000631880307906,3.1363634032937364,1.0647107369924282,0.06142857142857143,11.589473684210526,0.0
HealthTech,2022,Canada,Vancouver,Series A,0.0,46.06,1.55,0.81,0.0,46,0,46,Bootstrapped,Medium,Independent,4,0.0,3.8514233832992164,0.9360933591703349,0.0,29.716129032258067,0.0
SpaceTech,2014,India,Mumbai,Series C+,168.85,1840.42,243.71,7.67,21.7,510,0,510,Corporate VC (e.g. Google Ventures),Medium,Independent,12,5.134915694606593,7.518292292095946,5.500073835980599,0.331078431372549,7.551680275737557,0.0
FinTech,2019,India,Mumbai,Series B,60.51,195.84,18.47,3.39,17.3,185,48,137,Tier 2 (Mid-size VC),,Acquired,7,4.119199763220277,5.2823912159977775,2.968874819384108,0.4416788321167883,10.603140227395778,0.2594594594594595
Cybersecurity,2020,USA,New York,Series A,2.75,28.96,1.07,0.35,6.1,24,12,12,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,6,1.3217558399823195,3.3998631586490187,0.7275486072772778,0.22916666666666666,27.06542056074766,0.5
Robotics,2018,Singapore,Singapore,Seed,3.3,42.24,1.46,0.32,7.9,30,0,30,Tier 3 (Angel/Seed),,Independent,8,1.4586150226995167,3.7667659927710075,0.9001613499442714,0.11,28.93150684931507,0.0
Robotics,2018,UK,Cambridge,Seed,0.37,14.45,2.37,0.42,0.7,22,0,22,Tier 2 (Mid-size VC),High,Acquired,8,0.31481073984003355,2.7376090033437546,1.2149127443642704,0.01681818181818182,6.097046413502109,0.0
Cybersecurity,2022,USA,Austin,Series A,2.94,49.12,7.0,0.21,9.5,16,7,9,Tier 3 (Angel/Seed),High,Independent,4,1.3711807233098425,3.9144201300278674,2.0794415416798357,0.32666666666666666,7.017142857142857,0.4375
Generative AI,2022,Israel,Tel Aviv,Series A,6.98,43.86,5.99,0.49,11.8,46,0,46,Corporate VC (e.g. Google Ventures),Low,Independent,4,2.0769384114617173,3.803546529092062,1.944480556245719,0.15173913043478263,7.32220367278798,0.0
FinTech,2012,Germany,Berlin,Series C+,46.77,325.49,37.7,3.16,14.3,165,40,125,Tier 3 (Angel/Seed),High,Independent,14,3.8663978274018707,5.78839932037608,3.655839600035736,0.37416000000000005,8.63368700265252,0.24242424242424243
HealthTech,2019,USA,Miami,Seed,0.61,16.52,0.73,0.21,2.0,12,0,12,Tier 2 (Mid-size VC),Medium,Independent,7,0.4762341789963716,2.8633430855082453,0.5481214085096876,0.050833333333333335,22.63013698630137,0.0
Generative AI,2019,China,Hangzhou,Seed,1.87,22.47,1.49,0.67,2.4,34,12,22,Tier 3 (Angel/Seed),Medium,Independent,7,1.0543120297715298,3.1557230098629323,0.9122827104766162,0.085,15.080536912751677,0.35294117647058826
HealthTech,2020,USA,San Francisco,Seed,0.49,19.32,1.01,0.2,1.6,16,0,16,Corporate VC (e.g. Google Ventures),Medium,Closed,6,0.3987761199573678,3.011605622710281,0.6981347220709844,0.030625,19.128712871287128,0.0
Generative AI,2018,Singapore,Singapore,Seed,4.38,55.83,8.57,0.51,7.2,29,0,29,Tier 3 (Angel/Seed),High,Independent,8,1.682688374173693,4.04006435530903,2.258633205464863,0.1510344827586207,6.514585764294049,0.0
HealthTech,2021,Singapore,Singapore,Series A,13.99,107.44,14.27,0.72,17.1,45,0,45,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,5,2.7073833121145063,4.686197024630465,2.725890119230541,0.3108888888888889,7.5290819901892085,0.0
Cybersecurity,2018,China,Hangzhou,Series A,4.75,64.35,6.62,0.28,12.5,22,0,22,Tier 2 (Mid-size VC),Low,IPO,8,1.749199854809259,4.179757440070231,2.030776369698555,0.2159090909090909,9.720543806646525,0.0
FinTech,2018,China,Hangzhou,Series B,18.26,140.09,5.13,0.86,19.0,46,0,46,Tier 3 (Angel/Seed),High,Independent,8,2.9580304063699794,4.949397984625066,1.81319474994812,0.3969565217391305,27.307992202729046,0.0
FinTech,2017,Singapore,Singapore,Series B,13.26,152.32,7.62,0.28,34.9,25,0,25,Tier 3 (Angel/Seed),Low,Independent,9,2.65745841498615,5.032527240512354,2.154085084675602,0.5304,19.989501312335957,0.0
Generative AI,2020,China,Shanghai,Series C+,66.95,790.69,77.71,2.74,23.6,179,0,179,Corporate VC (e.g. Google Ventures),,Independent,6,4.218772140597153,6.674169901050502,4.3657702121543585,0.3740223463687151,10.174880967700426,0.0
EdTech,2019,India,Mumbai,Series A,2.37,25.05,1.0,0.56,3.6,33,0,33,Tier 2 (Mid-size VC),Low,Closed,7,1.2149127443642704,3.260017768199376,0.6931471805599453,0.07181818181818182,25.05,0.0
Web3/Crypto,2020,China,Hangzhou,Seed,5.17,61.85,2.53,0.39,10.6,26,23,3,Corporate VC (e.g. Google Ventures),,Acquired (Fire Sale),6,1.8196988379172965,4.140750935036256,1.2612978709452054,1.7233333333333334,24.446640316205535,0.8846153846153846
Robotics,2015,India,Hyderabad,Seed,0.0,48.35,3.78,0.09,0.0,7,0,7,Bootstrapped,Medium,Independent,11,0.0,3.8989377658794906,1.5644405465033644,0.0,12.791005291005291,0.0
EdTech,2019,Israel,Tel Aviv,Series A,7.02,73.36,6.08,0.75,8.3,58,0,58,Tier 3 (Angel/Seed),High,Independent,7,2.081938421878423,4.308918162853243,1.9572739077056285,0.12103448275862068,12.06578947368421,0.0
FinTech,2019,USA,Miami,Series B,62.64,524.57,64.49,4.21,14.5,280,80,200,Corporate VC (e.g. Google Ventures),,Independent,7,4.153242203469586,6.26448338791584,4.181897459229962,0.3132,8.134129322375564,0.2857142857142857
Generative AI,2020,USA,San Francisco,Series B,61.24,447.14,27.85,5.21,11.5,312,164,148,Corporate VC (e.g. Google Ventures),Medium,Closed,6,4.130997879870137,6.1051056835970305,3.3621099929541085,0.4137837837837838,16.05529622980251,0.5256410256410257
ClimateTech,2018,India,Bengaluru,Seed,3.64,19.22,3.11,0.38,7.6,36,22,14,"Tier 1 (e.g. Sequoia, a16z)",Medium,Acquired (Fire Sale),8,1.534714366238164,3.006672213592325,1.413423028508143,0.26,6.180064308681672,0.6111111111111112
FinTech,2014,USA,New York,Series B,23.85,153.32,8.98,1.06,20.6,61,0,61,Tier 3 (Angel/Seed),,Independent,12,3.2128577525426376,5.0390283685974735,2.300583090323373,0.3909836065573771,17.07349665924276,0.0
HealthTech,2021,USA,Miami,Series C+,46.45,183.31,14.98,1.51,28.9,82,0,82,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,5,3.859676525055937,5.216619122563531,2.7713379403381286,0.5664634146341464,12.2369826435247,0.0
Generative AI,2018,USA,Austin,Seed,7.7,57.71,2.1,0.57,11.5,39,0,39,Tier 2 (Mid-size VC),Low,Independent,8,2.163323025660538,4.072610070076094,1.1314021114911006,0.19743589743589743,27.48095238095238,0.0
Generative AI,2023,USA,Seattle,Series C+,284.3,3211.81,435.26,3.9,71.1,281,0,281,Tier 3 (Angel/Seed),High,Acquired,3,5.653541258219454,8.074901222602312,6.07823839589002,1.0117437722419929,7.379060791251206,0.0
SpaceTech,2015,India,Mumbai,Seed,1.24,12.38,0.44,0.35,2.8,34,0,34,Tier 2 (Mid-size VC),Medium,Independent,11,0.8064758658669484,2.5937610547000824,0.3646431135879093,0.036470588235294116,28.136363636363637,0.0
ClimateTech,2021,USA,Austin,Series B,17.65,185.94,6.37,0.36,38.4,31,0,31,Tier 3 (Angel/Seed),High,IPO,5,2.9258461460898246,5.230787709754438,1.9974177062012453,0.5693548387096774,29.189952904238616,0.0
Robotics,2017,USA,Seattle,Series C+,33.65,189.77,9.78,2.86,11.4,149,0,149,Corporate VC (e.g. Google Ventures),High,Acquired,9,3.5452977256359124,5.251068513947426,2.377692565480851,0.22583892617449663,19.4038854805726,0.0
Web3/Crypto,2020,USA,San Francisco,Seed,1.41,30.63,1.42,0.66,1.9,45,34,11,Tier 3 (Angel/Seed),Low,Closed,6,0.8796267475025635,3.4541060373175574,0.883767540168595,0.12818181818181817,21.570422535211268,0.7555555555555555
Generative AI,2018,China,Beijing,Series C+,64.91,342.92,16.34,4.01,15.8,274,57,217,Tier 2 (Mid-size VC),,Acquired,8,4.188290175064629,5.840409072188026,2.853015971352396,0.2991244239631336,20.98653610771114,0.20802919708029197
HealthTech,2019,India,Hyderabad,Seed,0.37,20.41,1.04,0.39,0.8,23,12,11,Tier 2 (Mid-size VC),,Closed,7,0.31481073984003355,3.0638581026015914,0.712949807856125,0.03363636363636364,19.625,0.5217391304347826
Web3/Crypto,2012,UK,London,Seed,2.5,31.02,1.04,0.53,4.0,31,24,7,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,14,1.252762968495368,3.4663607075685685,0.712949807856125,0.35714285714285715,29.826923076923077,0.7741935483870968
Web3/Crypto,2019,China,Shanghai,Seed,1.95,32.2,2.9,0.42,3.8,29,24,5,"Tier 1 (e.g. Sequoia, a16z)",Medium,Acquired (Fire Sale),7,1.0818051703517284,3.502549875922443,1.3609765531356006,0.39,11.103448275862071,0.8275862068965517
Robotics,2016,India,Hyderabad,Pre-IPO,436.38,1415.95,49.5,33.74,12.9,1782,493,1289,Tier 3 (Angel/Seed),Low,Acquired,10,6.080802382460177,7.256261953253019,3.9219733362813143,0.3385415050426687,28.605050505050507,0.27665544332211
ClimateTech,2017,USA,San Francisco,Seed,0.0,34.94,1.49,0.47,0.0,29,16,13,Bootstrapped,High,Acquired (Fire Sale),9,0.0,3.581850881355413,0.9122827104766162,0.0,23.4496644295302,0.5517241379310345
Web3/Crypto,2022,USA,New York,Series A,21.73,257.1,17.47,2.42,8.6,131,79,52,Tier 3 (Angel/Seed),Low,Closed,4,3.123685637864452,5.553347106724568,2.9161477942111484,0.4178846153846154,14.716657126502579,0.6030534351145038
Autonomous Vehicles,2018,Japan,Kyoto,Series B,8.67,96.26,8.56,0.33,20.2,22,0,22,Tier 3 (Angel/Seed),High,Independent,8,2.269028309465203,4.57738780497564,2.25758772706331,0.3940909090909091,11.245327102803738,0.0
Generative AI,2013,India,Bengaluru,Pre-IPO,0.0,15.8,0.6,0.34,0.0,18,8,10,Bootstrapped,Medium,Independent,13,0.0,2.8213788864092133,0.4700036292457356,0.0,26.333333333333336,0.4444444444444444
HealthTech,2021,USA,Miami,Seed,0.89,19.86,0.68,0.28,2.3,28,10,18,Tier 3 (Angel/Seed),Low,Independent,5,0.636576829071551,3.0378334495726262,0.5187937934151675,0.049444444444444444,29.205882352941174,0.35714285714285715
Robotics,2018,USA,Boston,Seed,0.62,18.29,0.65,0.54,1.0,30,16,14,Tier 3 (Angel/Seed),Medium,Closed,8,0.4824261492442927,2.9595868269176377,0.5007752879124893,0.04428571428571428,28.138461538461534,0.5333333333333333
Cybersecurity,2025,Canada,Montreal,Series A,5.88,77.31,8.11,0.62,8.2,48,27,21,Tier 2 (Mid-size VC),High,Closed,1,1.9286186519452522,4.360675308762846,2.209372711271867,0.27999999999999997,9.532675709001234,0.5625
Web3/Crypto,2021,UK,Oxford,Seed,3.8,25.27,1.64,0.99,3.5,52,44,8,Tier 2 (Mid-size VC),,Closed,5,1.5686159179138452,3.2684276036974484,0.9707789171582248,0.475,15.408536585365855,0.8461538461538461
Robotics,2013,China,Shenzhen,Series C+,0.0,49.64,2.07,0.29,0.0,19,6,13,Bootstrapped,High,Independent,13,0.0,3.9247417778359206,1.1216775615991057,0.0,23.98067632850242,0.3157894736842105
Web3/Crypto,2020,UK,Oxford,Series A,28.21,192.38,7.55,2.49,10.9,138,108,30,"Tier 1 (e.g. Sequoia, a16z)",High,Acquired (Fire Sale),6,3.3745111163996495,5.264657165055401,2.145931282948669,0.9403333333333334,25.480794701986756,0.782608695652174
EdTech,2015,China,Shenzhen,Series A,12.62,112.88,13.52,0.37,26.9,36,0,36,Tier 3 (Angel/Seed),,Closed,11,2.611539300721366,4.735145262409837,2.67552700939665,0.3505555555555555,8.349112426035504,0.0
EdTech,2020,France,Lyon,Series A,7.04,95.05,4.43,0.79,7.9,43,15,28,Tier 2 (Mid-size VC),High,Independent,6,2.0844290831908747,4.564868889214566,1.691939133945844,0.25142857142857145,21.455981941309254,0.3488372093023256
ClimateTech,2025,China,Shenzhen,Series C+,50.94,412.78,16.08,1.56,30.7,148,0,148,Tier 2 (Mid-size VC),Medium,Closed,1,3.9500892062346025,6.0253344316155975,2.837908188360424,0.34418918918918917,25.67039800995025,0.0
FinTech,2018,USA,San Francisco,Series C+,49.44,163.47,9.54,1.69,27.6,115,0,115,Tier 3 (Angel/Seed),Low,Closed,8,3.9207845110967185,5.102728182753178,2.355177543113216,0.42991304347826087,17.135220125786166,0.0
EdTech,2019,Germany,Munich,Seed,5.86,72.17,4.21,0.62,8.1,58,25,33,Tier 3 (Angel/Seed),Medium,Independent,7,1.925707441737794,4.292785500895938,1.6505798557652755,0.17757575757575758,17.14251781472684,0.43103448275862066
Robotics,2018,Germany,Berlin,Series C+,221.96,696.8,58.45,12.14,18.1,776,0,776,Tier 3 (Angel/Seed),Low,Acquired,8,5.406992383173693,6.547932528752674,4.085135623136791,0.2860309278350516,11.921300256629596,0.0
Generative AI,2021,USA,Austin,Series B,136.78,1343.35,79.02,8.01,16.9,621,0,621,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,5,4.92565821016505,7.203665903847227,4.382276603429089,0.22025764895330113,17.000126550240445,0.0
FinTech,2020,Singapore,Singapore,Seed,0.62,18.04,0.7,0.49,1.1,26,0,26,Tier 3 (Angel/Seed),Low,Independent,6,0.4824261492442927,2.9465420293632194,0.5306282510621704,0.023846153846153847,25.771428571428572,0.0
Generative AI,2019,India,Bengaluru,Seed,5.34,59.81,10.15,0.45,9.7,28,0,28,Tier 2 (Mid-size VC),Medium,Independent,7,1.8468787684491346,4.107754249132018,2.411439497906128,0.1907142857142857,5.892610837438424,0.0
HealthTech,2023,USA,Austin,Series B,256.19,1181.06,173.46,3.4,73.2,288,0,288,"Tier 1 (e.g. Sequoia, a16z)",Low,Closed,3,5.549815111358774,7.075013958099046,5.161695489005073,0.889548611111111,6.808832007379222,0.0
Generative AI,2022,India,Hyderabad,Seed,1.55,22.95,1.14,0.44,2.9,28,0,28,Corporate VC (e.g. Google Ventures),,Independent,4,0.9360933591703349,3.175968323856924,0.76080582903376,0.05535714285714286,20.13157894736842,0.0
FinTech,2020,France,Paris,Seed,0.29,6.92,0.47,0.48,0.5,40,13,27,Tier 3 (Angel/Seed),,Independent,6,0.2546422183735807,2.0693912058263346,0.3852624007906449,0.01074074074074074,14.72340425531915,0.325
Robotics,2013,Germany,Munich,Series A,5.86,54.77,2.18,0.24,17.2,24,0,24,Tier 2 (Mid-size VC),Medium,Acquired,13,1.925707441737794,4.021236090401462,1.1568811967920856,0.24416666666666667,25.123853211009173,0.0
Cybersecurity,2020,Germany,Munich,Post-IPO,438.87,2407.98,127.87,13.0,33.5,887,0,887,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,6,6.086479228711559,7.786958700380325,4.8588041443003,0.49478015783540025,18.8314694611715,0.0
SpaceTech,2024,Singapore,Singapore,Seed,1.19,19.94,0.81,0.25,3.4,19,7,12,Tier 2 (Mid-size VC),High,Independent,2,0.7839015438284094,3.041661205442391,0.5933268452777344,0.09916666666666667,24.617283950617285,0.3684210526315789
Cybersecurity,2014,USA,San Francisco,Series B,98.05,1082.09,45.13,8.39,11.5,420,0,420,Tier 3 (Angel/Seed),High,Independent,12,4.59562477314456,6.987573346041245,3.8314634975697293,0.23345238095238094,23.977177044094834,0.0
Web3/Crypto,2020,USA,Boston,Series B,130.83,565.08,83.82,6.81,18.9,517,285,232,Tier 2 (Mid-size VC),Medium,Closed,6,4.881513213769878,6.33873541097142,4.4405313640464446,0.5639224137931035,6.741589119541876,0.5512572533849129
SpaceTech,2020,India,Bengaluru,Series A,51.37,417.45,67.64,2.98,16.7,156,0,156,Tier 3 (Angel/Seed),High,Independent,6,3.9583339082913964,6.036557408478883,4.228875455179707,0.32929487179487177,6.171643997634535,0.0
Cybersecurity,2015,USA,New York,Pre-IPO,57.02,179.42,18.46,2.03,26.8,201,0,201,Tier 2 (Mid-size VC),High,Independent,11,4.060787778693258,5.195287466228493,2.968361076757859,0.28368159203980103,9.719393282773563,0.0
HealthTech,2018,UK,Cambridge,Seed,2.19,30.48,2.96,0.5,3.6,49,25,24,Tier 3 (Angel/Seed),,Closed,8,1.1600209167967532,3.4493524235492026,1.3762440252663892,0.09125,10.297297297297298,0.5102040816326531
Generative AI,2015,China,Shanghai,Series B,31.37,350.19,11.95,2.51,12.0,198,51,147,Tier 2 (Mid-size VC),High,Independent,11,3.477232067938153,5.861327387551475,2.5610957881455465,0.21340136054421768,29.304602510460253,0.25757575757575757
Generative AI,2019,Germany,Berlin,Series C+,287.99,1282.36,56.04,8.92,31.9,484,0,484,Tier 3 (Angel/Seed),Low,Closed,7,5.666392085437642,7.157236917618614,4.04375277610604,0.5950206611570248,22.882940756602427,0.0
Cybersecurity,2018,USA,Austin,Series B,7.93,105.43,5.76,0.49,13.4,37,0,37,Corporate VC (e.g. Google Ventures),Medium,IPO,8,2.189416394888408,4.667487492052953,1.9110228900548727,0.21432432432432433,18.303819444444446,0.0
HealthTech,2020,USA,Miami,Series B,0.0,38.41,4.46,0.35,0.0,22,10,12,Bootstrapped,Low,Independent,6,0.0,3.6740195912069122,1.6974487897568136,0.0,8.612107623318385,0.45454545454545453
ClimateTech,2018,USA,Miami,Seed,0.95,27.41,3.07,0.82,1.0,41,0,41,Corporate VC (e.g. Google Ventures),High,Independent,8,0.6678293725756554,3.3467411958660964,1.4036429994545037,0.023170731707317073,8.928338762214985,0.0
Cybersecurity,2016,USA,Austin,Pre-IPO,152.65,1387.98,55.16,9.21,16.4,507,0,507,Tier 2 (Mid-size VC),High,Independent,10,5.034677288576494,7.236324943802587,4.028204759717555,0.3010848126232742,25.162799129804206,0.0
HealthTech,2014,China,Hangzhou,Pre-IPO,144.0,1678.6,66.22,5.13,27.5,265,0,265,Tier 3 (Angel/Seed),High,Independent,12,4.976733742420574,7.4263109488100385,4.20797082229696,0.5433962264150943,25.348837209302324,0.0
